timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723640858390,2,HTTP Request-0,302,Found,script_1 1-1,text,true,,7175,1135,10,10,http://localhost/banking/customer_reg_form.php,2,0,0
1723640858393,1,HTTP Request-1,200,OK,script_1 1-1,text,true,,4344,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640858394,1,HTTP Request,200,OK,script_1 1-1,text,true,,4344,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640858396,6,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-1,,true,,10979,1628,10,10,null,0,1,0
1723640858396,5,HTTP Request,200,OK,script_1 1-1,text,true,,4579,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,5,0,0
1723640858402,1,HTTP Request,200,OK,script_1 1-1,text,true,,6400,726,10,10,http://localhost/banking/index.php,1,0,0
1723640988407,3,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-10,,true,,6401,651,10,10,null,0,0,1
1723640988407,3,HTTP Request,200,OK,script_1 1-10,text,true,,6401,651,10,10,http://localhost/banking/,3,0,1
1723640988410,6,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-10,,true,,22846,3474,10,10,null,0,0,0
1723640988410,1,HTTP Request,200,OK,script_1 1-10,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723640988411,4,HTTP Request,200,OK,script_1 1-10,text,true,,11526,2001,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640988411,2,HTTP Request-0,302,Found,script_1 1-10,text,true,,7175,1142,10,10,http://localhost/banking/customer_reg_form.php,2,0,0
1723640988413,2,HTTP Request-1,200,OK,script_1 1-10,text,true,,4351,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640988415,1,HTTP Request,200,OK,script_1 1-10,text,true,,4351,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640988416,18,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-10,,true,,10986,1628,10,10,null,0,2,0
1723640988416,16,HTTP Request,200,OK,script_1 1-10,text,true,,4586,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,16,0,0
1723640988434,2,HTTP Request,200,OK,script_1 1-10,text,true,,6400,726,10,10,http://localhost/banking/index.php,2,0,0
1723641018439,2,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-9,,true,,6401,651,10,10,null,0,1,1
1723641018439,2,HTTP Request,200,OK,script_1 1-9,text,true,,6401,651,10,10,http://localhost/banking/,2,0,1
1723641018442,7,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-9,,true,,22842,3472,10,10,null,0,0,0
1723641018442,1,HTTP Request,200,OK,script_1 1-9,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723641018443,4,HTTP Request,200,OK,script_1 1-9,text,true,,11524,1999,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723641018443,2,HTTP Request-0,302,Found,script_1 1-9,text,true,,7175,1140,10,10,http://localhost/banking/customer_reg_form.php,2,0,0
1723641018445,2,HTTP Request-1,200,OK,script_1 1-9,text,true,,4349,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723641018447,2,HTTP Request,200,OK,script_1 1-9,text,true,,4349,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723641018449,14,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-9,,true,,10984,1628,10,10,null,0,1,0
1723641018449,10,HTTP Request,200,OK,script_1 1-9,text,true,,4584,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,10,0,0
1723641018460,4,HTTP Request,200,OK,script_1 1-9,text,true,,6400,726,10,10,http://localhost/banking/index.php,4,0,0
1723641048422,5,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-8,,true,,6401,651,10,10,null,0,1,3
1723641048423,5,HTTP Request,200,OK,script_1 1-8,text,true,,6401,651,10,10,http://localhost/banking/,5,0,3
1723641048428,9,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-8,,true,,22844,3473,10,10,null,0,0,0
